region,POP,PPSQM,LESS18,WA19_64,WCB15_44,MORE65,projPOP,projLESS18,projWA19_64,projWCB15_44,projMORE65,medHOUSE,lessPOV,privINS,pubINS,notINS,denINS,MEDICAID,changeMED,childMED,childELGBL,CHIPS,elgCHIPS,CANCER,HEART,NP,RN,PA,DEN,HYG,PSY,SOC,MD,PCP,FQHC,CMHC,CSNC,RHC,ED,HPSA,visED,visHC,vsDEN
Adams,"467,697",367.82,"132,120","291,569","99,496","44,008","542,245","144,780","334,052","113,710","63,413","$54,876 ",13.20%,"297,798","86,305","85,567",63.60%,"132,518","32,889","74,626","5,604","7,590","4,466",5.20%,2.10%,149,"3,612",133,202,233,100,185,"1,542",288,6,9,3,0,4,2,22.70%,75.70%,61.60%
Alamosa,"16,046",22,"4,001","10,021","3,270","2,024","17,521","4,390","10,435","3,647","2,696","$37,484 ",25.60%,"7,550","4,865","2,887",50.70%,"6,784","1,720","2,872",164,269,177,5.60%,1.10%,9,166,10,10,6,3,6,41,19,4,1,0,0,1,1,25.10%,67.00%,54.90%
Arapahoe,"602,868",699.02,"149,881","384,060","124,360","68,928","677,047","156,219","420,764","136,146","100,063","$61,092 ",12.30%,"423,862","89,934","89,445",59.10%,"128,021","34,983","66,390","4,917","6,889","4,708",5.70%,2.30%,367,"6,704",250,516,389,289,456,"1,460",339,6,13,4,0,4,2,18.90%,77.50%,71.20%
Archuleta,"12,729",9.38,"2,471","7,552","1,842","2,706","13,851","2,410","7,388","1,949","4,054","$44,417 ",15.10%,"7,751","2,077","2,627",52.20%,"3,024",845,"1,355",106,202,86,5.50%,1.50%,4,106,4,8,17,4,8,14,7,0,1,0,1,1,0,21.90%,77.90%,63.20%
Baca,"3,799",1.62,792,"2,075",550,932,"3,806",855,"2,004",572,947,"$35,787 ",19.10%,"1,852","1,193",708,50.40%,"1,158",334,474,40,79,43,5.50%,5.40%,3,47,1,2,2,0,0,3,2,0,1,0,2,1,0,23.90%,73.00%,55.70%
Bent,"6,366",4,"1,013","4,418",678,935,"6,142",988,"4,013",621,"1,141","$34,440 ",33.00%,"3,666","1,992",831,50.40%,"1,865",495,743,55,59,34,7.60%,2.00%,3,58,0,0,1,1,0,1,1,1,1,0,0,0,0,23.90%,73.00%,55.70%
Boulder,"307,722",403.63,"63,322","209,082","65,903","35,316","335,076","64,901","217,979","68,505","52,195","$71,405 ",13.50%,"248,191","29,679","32,847",64.70%,"46,810","14,269","20,596","2,468","2,505","1,732",6.40%,3.40%,236,"3,227",190,268,183,325,495,853,263,3,11,1,0,5,1,13.80%,78.30%,67.50%
Broomfield,"60,560",1611.65,"15,222","38,752","12,412","6,586","72,013","16,386","46,181","14,880","9,446","$79,117 ",6.40%,"47,421","6,244","4,717",64.70%,"6,596","2,054","3,105",686,521,138,7.30%,3.40%,45,810,46,60,58,26,45,64,31,0,0,0,0,0,0,13.80%,78.30%,67.50%
Chaffee,"18,726",16.91,"3,138","11,518","2,594","4,071","21,272","3,832","12,152","3,294","5,288","$48,012 ",13.00%,"8,898","5,465","3,525",49.70%,"3,740","1,259","1,387",36,287,136,7.60%,4.80%,10,240,7,8,10,4,12,33,15,0,2,1,2,1,1,23.40%,78.70%,56.20%
Cheyenne,"1,924",1.12,452,"1,143",312,330,"2,038",495,"1,140",356,403,"$50,379 ",13.10%,"1,036",563,235,49.40%,401,78,196,16,41,10,N/A,N/A,0,21,0,0,0,0,0,4,1,1,1,0,2,1,0,21.50%,72.30%,64.80%
Clear Creek,"9,009",23.77,"1,541","6,055","1,312","1,414","9,568","1,823","5,707","1,393","2,038","$63,489 ",9.10%,"7,863",682,940,63.90%,"1,559",575,551,1,63,27,15.00%,2.50%,7,131,3,4,5,4,5,0,0,0,1,0,0,0,0,19.40%,87.70%,56.10%
Colorado,"5,267,800",48.14,"1,256,841","3,365,236","1,061,470","645,731","5,924,692","1,349,044","3,670,492","1,193,192","905,153","$58,942 ",12.90%,"3,632,648","900,867","734,852",61.60%,"1,172,532","320,015","561,533","45,227","57,353","36,380",6.10%,2.80%,"3,408","59,305","2,473","3,747","3,612","2,479","4,257","11,894","3,332",100,155,35,52,75,51,19.50%,78.20%,65.20%
Conejos,"8,456",6.5,"2,309","4,769","1,437","1,378","8,499","2,277","4,554","1,455","1,667","$34,923 ",22.90%,"4,036","2,601","1,543",50.69%,"3,410",846,"1,499",88,212,94,4.00%,3.80%,3,62,3,1,2,0,1,7,5,2,2,0,2,1,0,25.10%,67.00%,54.90%
Costilla,"3,716",2.85,740,"2,059",533,916,"3,734",746,"1,965",577,"1,023","$28,233 ",26.00%,"1,723","1,110",659,50.69%,"1,820",500,627,37,43,40,6.30%,6.90%,3,32,0,0,1,0,1,2,2,1,1,0,0,0,0,25.10%,67.00%,54.90%
Crowley,"5,914",7.81,769,"4,441",562,704,"5,717",727,"4,143",517,847,"$31,477 ",43.20%,"3,284","1,785",744,50.40%,"1,361",286,552,49,35,31,N/A,N/A,2,25,2,0,1,0,0,0,0,0,1,0,1,0,1,23.90%,73.00%,55.70%
Custer,"4,543",5.58,727,"2,617",540,"1,200","5,205",855,"2,674",762,"1,676","$47,268 ",14.40%,"2,126","1,306",842,49.70%,850,299,326,9,46,32,20.60%,0.70%,6,39,1,1,4,1,2,1,1,0,1,0,1,0,0,23.40%,78.70%,56.20%
Delta,"31,741",27.5,"6,771","18,013","4,892","6,956","33,664","7,340","17,893","5,362","8,431","$41,730 ",15.10%,"16,586","6,648","6,414",40.60%,"8,699","2,387","3,797",570,420,98,7.40%,4.10%,11,276,3,11,17,8,12,61,28,0,1,2,3,1,1,10.70%,71.60%,62.30%
Denver,"636,234",3919.93,"141,503","423,971","148,799","70,760","732,085","163,215","474,700","171,589","94,170","$51,156 ",18.70%,"393,885","160,448","96,989",65.10%,"190,407","50,451","86,675","5,374","7,091","4,713",5.00%,2.90%,545,"7,050",440,534,301,689,"1,022","2,572",530,16,7,8,0,0,8,19.40%,72.60%,62.40%
Dolores,"2,097",1.87,463,"1,218",323,417,"2,263",509,"1,299",387,454,"$42,416 ",14.00%,"1,324",355,449,52.20%,533,211,226,18,45,15,N/A,N/A,1,14,1,1,2,0,0,1,1,1,0,0,0,6,1,21.90%,77.90%,63.20%
Douglas,"302,506",337.23,"85,901","189,858","60,078","26,747","352,675","84,998","224,037","68,547","43,639","$105,192 ",3.60%,"266,707","15,282","20,575",73.68%,"22,908","7,711","11,181",355,"1,751",729,6.50%,1.10%,285,"4,647",196,280,360,76,165,383,146,1,2,0,0,2,0,20.30%,85.80%,82.60%
