name,region,value
Adams,8001,"467,697"
Alamosa,8003,"16,046"
Arapahoe,8005,"602,868"
Archuleta,8007,"12,729"
Baca,8009,"3,799"
Bent,8011,"6,366"
Boulder,8013,"307,722"
Broomfield,8014,"60,560"
Chaffee,8015,"18,726"
Cheyenne,8017,"1,924"
Clear Creek,8019,"9,009"
Conejos,8021,"8,456"
Costilla,8023,"3,716"
Crowley,8025,"5,914"
Custer,8027,"4,543"
Delta,8029,"31,741"
Denver,8031,"636,234"
Dolores,8033,"2,097"
Douglas,8035,"302,506"
Eagle,8037,"55,582"
El Paso,8041,"654,406"
Elbert,8039,"24,069"
Fremont,8043,"48,836"
Garfield,8045,"59,306"
Gilpin,8047,"5,637"
Grand,8049,"15,016"
Gunnison,8051,"15,982"
Hinsdale,8053,853
Huerfano,8055,"6,561"
Jackson,8057,"1,394"
Jefferson,8059,"545,799"
Kiowa,8061,"1,463"
Kit Carson,8063,"8,235"
La Plata,8065,"55,104"
Lake,8067,"7,839"
Larimer,8069,"316,031"
Las Animas,8071,"15,803"
Lincoln,8073,"5,405"
Logan,8075,"22,437"
Mesa,8077,"150,123"
Mineral,8079,747
Moffat,8081,"13,659"
Montezuma,8083,"26,481"
Montrose,8085,"41,751"
Morgan,8087,"29,025"
Otero,8089,"19,328"
Ouray,8091,"4,662"
Park,8093,"16,825"
Phillips,8095,"4,335"
Pitkin,8097,"17,598"
Prowers,8099,"12,730"
Pueblo,8101,"164,280"
Rio Blanco,8103,"6,868"
Rio Grande,8105,"12,285"
Routt,8107,"24,277"
Saguache,8109,"6,478"
San Juan,8111,697
San Miguel,8113,"8,148"
Sedgwick,8115,"2,428"
Summit,8117,"29,499"
Teller,8119,"23,602"
Washington,8121,"4,615"
Weld,8123,"268,639"
Yuma,8125,"10,309"
